station_id,D_station,station_latitude,station_longitude,bikepath
3095,Graham Ave & Herbert St,40.71929301,-73.94500379,
3094,Graham Ave & Withers St,40.7169811,-73.94485918,
281,Grand Army Plaza & Central Park S,40.7643971,-73.97371465000001,
2010,Grand St & Greene St,40.72165481,-74.00234737,
471,Grand St & Havemeyer St,40.71286844,-73.95698118999999,
229,Great Jones St,40.72743423,-73.99379025,
3055,Greene Ave & Nostrand Ave,40.6883337,-73.95091600000001,
3054,Greene Ave & Throop Ave,40.6894932,-73.942061,
3113,Greenpoint Ave & Manhattan Ave,40.73026,-73.95394,
284,Greenwich Ave & 8 Ave,40.73901691,-74.00263760999999,1st/2nd ave
383,Greenwich Ave & Charles St,40.735238,-74.000271,
329,Greenwich St & N Moore St,40.72043411,-74.01020609,
347,Greenwich St & W Houston St,40.728846,-74.008591,
147,Greenwich St & Warren St,40.71542197,-74.01121978000001,
3047,Halsey St & Tompkins Ave,40.6823687,-73.944118,
436,Hancock St & Bedford Ave,40.68216564,-73.95399026,1st/2nd ave
3222,Hanson Pl & St Felix St,40.6851596,-73.97711366,
249,Harrison St & Hudson St,40.71870987,-74.0090009,
157,Henry St & Atlantic Ave,40.69089272,-73.99612349,
502,Henry St & Grand St,40.714215,-73.981346,
407,Henry St & Poplar St,40.700469,-73.991454,
406,Hicks St & Montague St,40.69512845,-73.99595065,
3082,Hope St & Union Ave,40.71167351,-73.95141312,
268,Howard St & Centre St,40.71910537,-73.99973337,
146,Hudson St & Reade St,40.71625008,-74.00910589999999,
3068,Humboldt St & Varet St,40.7031724,-73.940636,
3116,Huron St & Franklin St,40.73266,-73.95826,
3114,India St & East River,40.73165141,-73.96161892000001,
3115,India St & Manhattan Ave,40.73232194,-73.95508580000001,
3121,Jackson Ave & 46 Rd,40.74524768,-73.94733276,
392,Jay St & Tech Pl,40.695065,-73.987167,
376,John St & William St,40.70862144,-74.00722156000001,
261,Johnson St & Gold St,40.69474881,-73.98362464,
3104,Kent Ave & N 7 St,40.72057658,-73.96150225,
282,Kent Ave & S 11 St,40.70827295,-73.96834101,
3041,Kingston Ave & Herkimer St,40.67890679,-73.94142771,
3056,Kosciuszko St & Nostrand Ave,40.69072549,-73.95133465000001,
3057,Kosciuszko St & Tompkins Ave,40.69128258,-73.9452416,
