D_station,LU1,LU2,LU3,LU4,LU5,LU6,LU7,LU8,LU9,LU10,LU11,LUNA,LU23,LU458,LU6710
E 37 St & Lexington Ave,.0039073969041427,.0149381538543125,.1655569144287072,.1992151021332274,.5763038785714211,.0106808344317281,0,.0271903223382606,.0000562250977636,.0019474574662196,0,.0002037147742172,.18049507,.80270928,.012628292
E 39 St & 2 Ave,.0020583050115555,.0130533042940809,.2604263799179191,.2255874030989221,.4674529765369677,.0001603670597705,.002423128650378,.0267200109600475,.0000913772420345,.001876692743012,0,.0001500544853123,.27347967,.71976042,.0044601886
E 39 St & 3 Ave,.0038024296742254,.0138574908524799,.1719998559696371,.1400423700243035,.6495995759251656,.0001150463594219,0,.0185889070024603,.0000585298938858,.0017237287868935,0,.0002120655115269,.18585734,.80823088,.0018387751
E 4 St & 2 Ave,.0044300973825768,.1107491321323796,.2071060350255942,.3714885835308329,.1588974392865149,.0289362935514946,.0001830929764413,.1054422774431527,.0095737504883567,.0031932981826563,0,0,.31785518,.63582832,.032312684
E 40 St & Madison Ave,.0005867056502089,.0034391186740123,.0367056838330187,.0688494825333153,.8535266537842329,.0009917716277533,0,.0331021549356958,.0026950058875788,0,0,.0001034230741841,.040144801,.95547831,.00099177158
E 41 St & Madison Ave,.0003411607111781,.0027336447769628,.027341936154455,.0442721578461283,.8913817699932656,.0003035551114356,0,.0309001260544221,.0026249160339233,0,0,.0001007333182294,.030075582,.96655405,.00030355511
E 43 St & 2 Ave,.0008986435044594,.0034070165837424,.1688704712897388,.1468784887830346,.5794109299194941,0,.0026782628894337,.091788031121133,.0000199297670428,.0032019346993165,0,.0028462914426047,.1722775,.81807745,.0058801975
E 43 St & Vanderbilt Ave,0,.0007064064828152,.0109664625709842,.0164146415319318,.9448561603691784,.000271842609278,0,.0267844864358123,0,0,0,0,.011672869,.98805529,.00027184261
E 45 St & 3 Ave,.0027154960217644,.0011733336592947,.0599544426520813,.0667101621390503,.8436886129931349,0,0,.0200800277644401,8.40369197107e-06,.0035601095077461,0,.0021094115705172,.061127778,.93047881,.0035601095
E 47 St & 1 Ave,.0116312377227471,.0152803356510269,.2726585909774059,.2095464503416621,.3249014576374059,0,.0033102690430639,.1545702599811745,.000048862691868,.0036210107970053,0,.0044315251566404,.28793892,.68901819,.0069312798
E 47 St & 2 Ave,.0063347054822238,.0091826882188436,.1250700327003438,.1511911372782765,.6049666413171794,0,0,.095900200096571,.0000108852710573,.0046113966478973,0,.0027323129876072,.13425273,.85205799,.0046113967
E 47 St & Park Ave,.0006199412454605,.0003575586927022,.0162660664882699,.0295658447960261,.9366558253265256,0,0,.0142903670560253,0,.0022443963949904,0,0,.016623626,.98051202,.0022443964
E 48 St & 3 Ave,.0033891480276696,.0050305702010997,.063465297623245,.0995611526778134,.8103442325360564,0,0,.0122059608029052,7.76540446423e-06,.0040466777677961,0,.0019491949589504,.06849587,.92211133,.0040466776
E 48 St & 5 Ave,0,0,.0020250267918277,.0277260882546212,.9583313772806683,.0017238603072875,0,.0084395723728423,0,.0017540749927529,0,0,.0020250268,.99449706,.0034779352
E 48 St & Madison Ave,0,0,.0047618745818343,.035498403390939,.9459892557958134,.0015785888562108,0,.0101410712439437,0,.0020308061312588,0,0,.0047618747,.99162871,.0036093949
E 5 St & Avenue C,.0027793665945792,.2443963537382728,.3950069287518438,.2242754914461232,.0069882798730198,.0032123771688159,.0001377981621085,.1172667215010774,.005125042849499,.0008116399146603,0,0,.63940328,.3485305,.0041618152
